year,male,female
1961,Grayson,Lucy
1961,Santiago,Riley
1961,Asher,Zoe
1961,Nolan,Addison
1961,Leonardo,Delilah
1961,Elias,Leilani
1961,Hudson,Hannah
1961,Nathan,Quinn
1961,Jayden,Ivy
1961,Josiah,Natalia
1961,Ryan,Naomi
1961,Caleb,Brooklyn
1961,Isaiah,Natalie
1961,Maverick,Leah
1961,Ezra,Ruby
1961,Adam,Vivian
1961,Christopher,Liliana
1961,Jaxon,Maeve
1961,Adrian,Everly
1961,Joshua,Hailey
1961,Dominic,Aubrey
1961,Nicholas,Madelyn
1961,Jonathan,Audrey
1961,Andrew,Savannah
1961,Gael,Aurora
1961,Connor,Claire
1961,Ezekiel,Josephine
1961,Landon,Bella
1961,Emmett,Gabriella
1961,Angel,Kinsley
1961,Bennett,Samantha
1961,Jordan,Aaliyah
1961,Brooks,Madeline
1961,Vincent,Eloise
1961,Everett,Skylar
1961,Aaron,Anna
1961,Declan,Ximena
1961,Amir,Julia
1961,Wesley,Ayla
1961,Eli,Cecilia
1961,Kai,Kennedy
1961,Damian,Sophie
1961,Robert,Margaret
1961,Axel,Ariana
1961,Beau,Autumn
1961,Easton,Allison
1961,Colton,Valentina
1961,Cooper,Clara
1961,George,Piper
1961,Ian,Eva
1961,Christian,Mackenzie
1961,Roman,Alice
1961,Messiah,Cora
1961,Theo,Paisley
1961,Jaxson,Serenity
1961,Austin,Rose
1961,Giovanni, 
1962,Noah,Olivia
1962,Liam,Emma
1962,Oliver,Sophia
1962,Henry,Charlotte
1962,Benjamin,Amelia
1962,Alexander,Ava
1962,Theodore,Isabella
1962,William,Mia
1962,Mateo,Evelyn
1962,Logan,Camila
1962,James,Sofia
1962,Lucas,Gianna
1962,Owen,Eleanor
1962,Daniel,Nora
1962,Jack,Layla
1962,Michael,Emily
1962,Leo,Elizabeth
1962,Elijah,Harper
1962,Sebastian,Mila
1962,Mason,Avery
1962,Anthony,Abigail
1962,Joseph,Luna
1962,Ethan,Emilia
1962,Jackson,Penelope
1962,Aiden,Ella
1962,Julian,Aria
1962,Levi,Grace
1962,Luca,Scarlett
1962,John,Chloe
1962,Jacob,Violet
1962,Charles,Isla
1962,Thomas,Zoey
1962,Wyatt,Hazel
1962,Isaac,Lily
1962,Miles,Maya
1962,David,Nova
1962,Gabriel,Eliana
1962,Matthew,Lillian
1962,Lincoln,Madison
1962,Carter,Willow
1962,Cameron,Ellie
1962,Samuel,Victoria
1962,Luke,Stella
1962,Dylan,Elena
1962,Grayson,Lucy
1962,Santiago,Riley
1962,Asher,Zoe
1962,Nolan,Addison
1962,Leonardo,Delilah
1962,Elias,Leilani
1962,Hudson,Hannah
1962,Nathan,Quinn
1962,Jayden,Ivy
1962,Josiah,Natalia
1962,Ryan,Naomi
1962,Caleb,Brooklyn
1962,Isaiah,Natalie
1962,Maverick,Leah
1962,Ezra,Ruby
1962,Adam,Vivian
1962,Christopher,Liliana
1962,Jaxon,Maeve
1962,Adrian,Everly
1962,Joshua,Hailey
1962,Dominic,Aubrey
1962,Nicholas,Madelyn
1962,Jonathan,Audrey
1962,Andrew,Savannah
1962,Gael,Aurora
1962,Connor,Claire
1962,Ezekiel,Josephine
1962,Landon,Bella
1962,Emmett,Gabriella
1962,Angel,Kinsley
1962,Bennett,Samantha
1962,Jordan,Aaliyah
1962,Brooks,Madeline
1962,Vincent,Eloise
1962,Everett,Skylar
1962,Aaron,Anna
1962,Declan,Ximena
1962,Amir,Julia
1962,Wesley,Ayla
1962,Eli,Cecilia
1962,Kai,Kennedy
1962,Damian,Sophie
1962,Robert,Margaret
1962,Axel,Ariana
1962,Beau,Autumn
1962,Easton,Allison
1962,Colton,Valentina
1962,Cooper,Clara
1962,George,Piper
1962,Ian,Eva
1962,Christian,Mackenzie
1962,Roman,Alice
1962,Messiah,Cora
1962,Theo,Paisley
1962,Jaxson,Serenity
1962,Austin,Rose
1962,Giovanni, 
1963,Noah,Olivia
1963,Liam,Emma
1963,Oliver,Sophia
1963,Henry,Charlotte
1963,Benjamin,Amelia
1963,Alexander,Ava
1963,Theodore,Isabella
1963,William,Mia
1963,Mateo,Evelyn
1963,Logan,Camila
1963,James,Sofia
1963,Lucas,Gianna
1963,Owen,Eleanor
1963,Daniel,Nora
1963,Jack,Layla
1963,Michael,Emily
1963,Leo,Elizabeth
1963,Elijah,Harper
1963,Sebastian,Mila
1963,Mason,Avery
1963,Anthony,Abigail
1963,Joseph,Luna
1963,Ethan,Emilia
1963,Jackson,Penelope
1963,Aiden,Ella
1963,Julian,Aria
1963,Levi,Grace
1963,Luca,Scarlett
1963,John,Chloe
1963,Jacob,Violet
1963,Charles,Isla
1963,Thomas,Zoey
1963,Wyatt,Hazel
1963,Isaac,Lily
1963,Miles,Maya
1963,David,Nova
1963,Gabriel,Eliana
1963,Matthew,Lillian
1963,Lincoln,Madison
1963,Carter,Willow
1963,Cameron,Ellie
1963,Samuel,Victoria
1963,Luke,Stella
1963,Dylan,Elena
1963,Grayson,Lucy
1963,Santiago,Riley
1963,Asher,Zoe
1963,Nolan,Addison
1963,Leonardo,Delilah
1963,Elias,Leilani
1963,Hudson,Hannah
1963,Nathan,Quinn
1963,Jayden,Ivy
1963,Josiah,Natalia
1963,Ryan,Naomi
1963,Caleb,Brooklyn
1963,Isaiah,Natalie
1963,Maverick,Leah
1963,Ezra,Ruby
1963,Adam,Vivian
1963,Christopher,Liliana
1963,Jaxon,Maeve
1963,Adrian,Everly
1963,Joshua,Hailey
1963,Dominic,Aubrey
1963,Nicholas,Madelyn
1963,Jonathan,Audrey
1963,Andrew,Savannah
1963,Gael,Aurora
1963,Connor,Claire
1963,Ezekiel,Josephine
1963,Landon,Bella
1963,Emmett,Gabriella
1963,Angel,Kinsley
1963,Bennett,Samantha
1963,Jordan,Aaliyah
1963,Brooks,Madeline
1963,Vincent,Eloise
1963,Everett,Skylar
1963,Aaron,Anna
1963,Declan,Ximena
1963,Amir,Julia
1963,Wesley,Ayla
1963,Eli,Cecilia
1963,Kai,Kennedy
1963,Damian,Sophie
1963,Robert,Margaret
1963,Axel,Ariana
1963,Beau,Autumn
1963,Easton,Allison
1963,Colton,Valentina
1963,Cooper,Clara
1963,George,Piper
1963,Ian,Eva
1963,Christian,Mackenzie
1963,Roman,Alice
1963,Messiah,Cora
1963,Theo,Paisley
1963,Jaxson,Serenity
1963,Austin,Rose
1963,Giovanni, 
1964,Noah,Olivia
1964,Liam,Emma
1964,Oliver,Sophia
1964,Henry,Charlotte
1964,Benjamin,Amelia
1964,Alexander,Ava
1964,Theodore,Isabella
1964,William,Mia
1964,Mateo,Evelyn
1964,Logan,Camila
1964,James,Sofia
1964,Lucas,Gianna
1964,Owen,Eleanor
1964,Daniel,Nora
1964,Jack,Layla
1964,Michael,Emily
1964,Leo,Elizabeth
1964,Elijah,Harper
1964,Sebastian,Mila
1964,Mason,Avery
1964,Anthony,Abigail
1964,Joseph,Luna
1964,Ethan,Emilia
1964,Jackson,Penelope
1964,Aiden,Ella
1964,Julian,Aria
1964,Levi,Grace
1964,Luca,Scarlett
1964,John,Chloe
1964,Jacob,Violet
1964,Charles,Isla
1964,Thomas,Zoey
1964,Wyatt,Hazel
1964,Isaac,Lily
1964,Miles,Maya
1964,David,Nova
1964,Gabriel,Eliana
1964,Matthew,Lillian
1964,Lincoln,Madison
1964,Carter,Willow
1964,Cameron,Ellie
1964,Samuel,Victoria
1964,Luke,Stella
1964,Dylan,Elena
1964,Grayson,Lucy
1964,Santiago,Riley
1964,Asher,Zoe
1964,Nolan,Addison
1964,Leonardo,Delilah
1964,Elias,Leilani
1964,Hudson,Hannah
1964,Nathan,Quinn
1964,Jayden,Ivy
1964,Josiah,Natalia
1964,Ryan,Naomi
1964,Caleb,Brooklyn
1964,Isaiah,Natalie
1964,Maverick,Leah
1964,Ezra,Ruby
1964,Adam,Vivian
1964,Christopher,Liliana
1964,Jaxon,Maeve
1964,Adrian,Everly
1964,Joshua,Hailey
1964,Dominic,Aubrey
1964,Nicholas,Madelyn
1964,Jonathan,Audrey
1964,Andrew,Savannah
1964,Gael,Aurora
1964,Connor,Claire
1964,Ezekiel,Josephine
1964,Landon,Bella
1964,Emmett,Gabriella
1964,Angel,Kinsley
1964,Bennett,Samantha
1964,Jordan,Aaliyah
1964,Brooks,Madeline
1964,Vincent,Eloise
1964,Everett,Skylar
1964,Aaron,Anna
1964,Declan,Ximena
1964,Amir,Julia
1964,Wesley,Ayla
1964,Eli,Cecilia
1964,Kai,Kennedy
1964,Damian,Sophie
1964,Robert,Margaret
1964,Axel,Ariana
1964,Beau,Autumn
1964,Easton,Allison
1964,Colton,Valentina
1964,Cooper,Clara
1964,George,Piper
1964,Ian,Eva
1964,Christian,Mackenzie
1964,Roman,Alice
1964,Messiah,Cora
1964,Theo,Paisley
1964,Jaxson,Serenity
1964,Austin,Rose
1964,Giovanni, 
1965,Noah,Olivia
1965,Liam,Emma
1965,Oliver,Sophia
1965,Henry,Charlotte
1965,Benjamin,Amelia
1965,Alexander,Ava
1965,Theodore,Isabella
1965,William,Mia
1965,Mateo,Evelyn
1965,Logan,Camila
1965,James,Sofia
1965,Lucas,Gianna
1965,Owen,Eleanor
1965,Daniel,Nora
1965,Jack,Layla
1965,Michael,Emily
1965,Leo,Elizabeth
1965,Elijah,Harper
1965,Sebastian,Mila
1965,Mason,Avery
1965,Anthony,Abigail
1965,Joseph,Luna
1965,Ethan,Emilia
1965,Jackson,Penelope
1965,Aiden,Ella
1965,Julian,Aria
1965,Levi,Grace
1965,Luca,Scarlett
1965,John,Chloe
1965,Jacob,Violet
1965,Charles,Isla
1965,Thomas,Zoey
1965,Wyatt,Hazel
1965,Isaac,Lily
1965,Miles,Maya
1965,David,Nova
1965,Gabriel,Eliana
1965,Matthew,Lillian
1965,Lincoln,Madison
1965,Carter,Willow
1965,Cameron,Ellie
1965,Samuel,Victoria
1965,Luke,Stella
1965,Dylan,Elena
1965,Grayson,Lucy
1965,Santiago,Riley
1965,Asher,Zoe
1965,Nolan,Addison
1965,Leonardo,Delilah
1965,Elias,Leilani
1965,Hudson,Hannah
1965,Nathan,Quinn
1965,Jayden,Ivy
1965,Josiah,Natalia
1965,Ryan,Naomi
1965,Caleb,Brooklyn
1965,Isaiah,Natalie
1965,Maverick,Leah
1965,Ezra,Ruby
1965,Adam,Vivian
1965,Christopher,Liliana
1965,Jaxon,Maeve
1965,Adrian,Everly
1965,Joshua,Hailey
1965,Dominic,Aubrey
1965,Nicholas,Madelyn
1965,Jonathan,Audrey
1965,Andrew,Savannah
1965,Gael,Aurora
1965,Connor,Claire
1965,Ezekiel,Josephine
1965,Landon,Bella
1965,Emmett,Gabriella
1965,Angel,Kinsley
1965,Bennett,Samantha
1965,Jordan,Aaliyah
1965,Brooks,Madeline
1965,Vincent,Eloise
1965,Everett,Skylar
1965,Aaron,Anna
1965,Declan,Ximena
1965,Amir,Julia
1965,Wesley,Ayla
1965,Eli,Cecilia
1965,Kai,Kennedy
1965,Damian,Sophie
1965,Robert,Margaret
1965,Axel,Ariana
1965,Beau,Autumn
1965,Easton,Allison
1965,Colton,Valentina
1965,Cooper,Clara
1965,George,Piper
1965,Ian,Eva
1965,Christian,Mackenzie
1965,Roman,Alice
1965,Messiah,Cora
1965,Theo,Paisley
1965,Jaxson,Serenity
1965,Austin,Rose
1965,Giovanni, 
1966,Noah,Olivia
1966,Liam,Emma
1966,Oliver,Sophia
1966,Henry,Charlotte
1966,Benjamin,Amelia
1966,Alexander,Ava
1966,Theodore,Isabella
1966,William,Mia
1966,Mateo,Evelyn
1966,Logan,Camila
1966,James,Sofia
1966,Lucas,Gianna
1966,Owen,Eleanor
1966,Daniel,Nora
1966,Jack,Layla
1966,Michael,Emily
1966,Leo,Elizabeth
1966,Elijah,Harper
1966,Sebastian,Mila
1966,Mason,Avery
1966,Anthony,Abigail
1966,Joseph,Luna
1966,Ethan,Emilia
1966,Jackson,Penelope
1966,Aiden,Ella
1966,Julian,Aria
1966,Levi,Grace
1966,Luca,Scarlett
1966,John,Chloe
1966,Jacob,Violet
1966,Charles,Isla
1966,Thomas,Zoey
1966,Wyatt,Hazel
1966,Isaac,Lily
1966,Miles,Maya
1966,David,Nova
1966,Gabriel,Eliana
1966,Matthew,Lillian
1966,Lincoln,Madison
1966,Carter,Willow
1966,Cameron,Ellie
1966,Samuel,Victoria
1966,Luke,Stella
1966,Dylan,Elena
1966,Grayson,Lucy
1966,Santiago,Riley
1966,Asher,Zoe
1966,Nolan,Addison
1966,Leonardo,Delilah
1966,Elias,Leilani
1966,Hudson,Hannah
1966,Nathan,Quinn
1966,Jayden,Ivy
1966,Josiah,Natalia
1966,Ryan,Naomi
1966,Caleb,Brooklyn
1966,Isaiah,Natalie
1966,Maverick,Leah
1966,Ezra,Ruby
1966,Adam,Vivian
1966,Christopher,Liliana
1966,Jaxon,Maeve
1966,Adrian,Everly
1966,Joshua,Hailey
1966,Dominic,Aubrey
1966,Nicholas,Madelyn
1966,Jonathan,Audrey
1966,Andrew,Savannah
1966,Gael,Aurora
1966,Connor,Claire
1966,Ezekiel,Josephine
1966,Landon,Bella
1966,Emmett,Gabriella
1966,Angel,Kinsley
1966,Bennett,Samantha
1966,Jordan,Aaliyah
1966,Brooks,Madeline
1966,Vincent,Eloise
1966,Everett,Skylar
1966,Aaron,Anna
1966,Declan,Ximena
1966,Amir,Julia
1966,Wesley,Ayla
1966,Eli,Cecilia
1966,Kai,Kennedy
1966,Damian,Sophie
1966,Robert,Margaret
1966,Axel,Ariana
1966,Beau,Autumn
1966,Easton,Allison
1966,Colton,Valentina
1966,Cooper,Clara
1966,George,Piper
1966,Ian,Eva
1966,Christian,Mackenzie
1966,Roman,Alice
1966,Messiah,Cora
1966,Theo,Paisley
1966,Jaxson,Serenity
1966,Austin,Rose
1966,Giovanni, 
1967,Noah,Olivia
1967,Liam,Emma
1967,Oliver,Sophia
1967,Henry,Charlotte
1967,Benjamin,Amelia
1967,Alexander,Ava
1967,Theodore,Isabella
1967,William,Mia
1967,Mateo,Evelyn
1967,Logan,Camila
1967,James,Sofia
1967,Lucas,Gianna
1967,Owen,Eleanor
1967,Daniel,Nora
1967,Jack,Layla
1967,Michael,Emily
1967,Leo,Elizabeth
1967,Elijah,Harper
1967,Sebastian,Mila
1967,Mason,Avery
1967,Anthony,Abigail
1967,Joseph,Luna
1967,Ethan,Emilia
1967,Jackson,Penelope
1967,Aiden,Ella
1967,Julian,Aria
1967,Levi,Grace
1967,Luca,Scarlett
1967,John,Chloe
1967,Jacob,Violet
1967,Charles,Isla
1967,Thomas,Zoey
1967,Wyatt,Hazel
1967,Isaac,Lily
1967,Miles,Maya
1967,David,Nova
1967,Gabriel,Eliana
1967,Matthew,Lillian
1967,Lincoln,Madison
1967,Carter,Willow
1967,Cameron,Ellie
1967,Samuel,Victoria
1967,Luke,Stella
1967,Dylan,Elena
1967,Grayson,Lucy
1967,Santiago,Riley
1967,Asher,Zoe
1967,Nolan,Addison
1967,Leonardo,Delilah
1967,Elias,Leilani
1967,Hudson,Hannah
1967,Nathan,Quinn
1967,Jayden,Ivy
1967,Josiah,Natalia
1967,Ryan,Naomi
1967,Caleb,Brooklyn
1967,Isaiah,Natalie
1967,Maverick,Leah
1967,Ezra,Ruby
1967,Adam,Vivian
1967,Christopher,Liliana
1967,Jaxon,Maeve
1967,Adrian,Everly
1967,Joshua,Hailey
1967,Dominic,Aubrey
1967,Nicholas,Madelyn
1967,Jonathan,Audrey
1967,Andrew,Savannah
1967,Gael,Aurora
1967,Connor,Claire
1967,Ezekiel,Josephine
1967,Landon,Bella
1967,Emmett,Gabriella
1967,Angel,Kinsley
1967,Bennett,Samantha
1967,Jordan,Aaliyah
1967,Brooks,Madeline
1967,Vincent,Eloise
1967,Everett,Skylar
1967,Aaron,Anna
1967,Declan,Ximena
1967,Amir,Julia
1967,Wesley,Ayla
1967,Eli,Cecilia
1967,Kai,Kennedy
1967,Damian,Sophie
1967,Robert,Margaret
1967,Axel,Ariana
1967,Beau,Autumn
1967,Easton,Allison
1967,Colton,Valentina
1967,Cooper,Clara
1967,George,Piper
1967,Ian,Eva
1967,Christian,Mackenzie
1967,Roman,Alice
1967,Messiah,Cora
1967,Theo,Paisley
1967,Jaxson,Serenity
1967,Austin,Rose
1967,Giovanni, 
1968,Noah,Olivia
1968,Liam,Emma
1968,Oliver,Sophia
1968,Henry,Charlotte
1968,Benjamin,Amelia
1968,Alexander,Ava
1968,Theodore,Isabella
1968,William,Mia
1968,Mateo,Evelyn
1968,Logan,Camila
1968,James,Sofia
1968,Lucas,Gianna
1968,Owen,Eleanor
1968,Daniel,Nora
1968,Jack,Layla
1968,Michael,Emily
1968,Leo,Elizabeth
1968,Elijah,Harper
1968,Sebastian,Mila
1968,Mason,Avery
1968,Anthony,Abigail
1968,Joseph,Luna
1968,Ethan,Emilia
1968,Jackson,Penelope
1968,Aiden,Ella
1968,Julian,Aria
1968,Levi,Grace
1968,Luca,Scarlett
1968,John,Chloe
1968,Jacob,Violet
1968,Charles,Isla
1968,Thomas,Zoey
1968,Wyatt,Hazel
1968,Isaac,Lily
1968,Miles,Maya
1968,David,Nova
1968,Gabriel,Eliana
1968,Matthew,Lillian
1968,Lincoln,Madison
1968,Carter,Willow
1968,Cameron,Ellie
1968,Samuel,Victoria
1968,Luke,Stella
1968,Dylan,Elena
1968,Grayson,Lucy
1968,Santiago,Riley
1968,Asher,Zoe
1968,Nolan,Addison
1968,Leonardo,Delilah
1968,Elias,Leilani
1968,Hudson,Hannah
1968,Nathan,Quinn
1968,Jayden,Ivy
1968,Josiah,Natalia
1968,Ryan,Naomi
1968,Caleb,Brooklyn
1968,Isaiah,Natalie
1968,Maverick,Leah
1968,Ezra,Ruby
1968,Adam,Vivian
1968,Christopher,Liliana
1968,Jaxon,Maeve
1968,Adrian,Everly
1968,Joshua,Hailey
1968,Dominic,Aubrey
1968,Nicholas,Madelyn
1968,Jonathan,Audrey
1968,Andrew,Savannah
1968,Gael,Aurora
1968,Connor,Claire
1968,Ezekiel,Josephine
1968,Landon,Bella
1968,Emmett,Gabriella
1968,Angel,Kinsley
1968,Bennett,Samantha
1968,Jordan,Aaliyah
1968,Brooks,Madeline
1968,Vincent,Eloise
1968,Everett,Skylar
1968,Aaron,Anna
1968,Declan,Ximena
1968,Amir,Julia
1968,Wesley,Ayla
1968,Eli,Cecilia
1968,Kai,Kennedy
1968,Damian,Sophie
1968,Robert,Margaret
1968,Axel,Ariana
1968,Beau,Autumn
1968,Easton,Allison
1968,Colton,Valentina
1968,Cooper,Clara
1968,George,Piper
1968,Ian,Eva
1968,Christian,Mackenzie
1968,Roman,Alice
1968,Messiah,Cora
1968,Theo,Paisley
1968,Jaxson,Serenity
1968,Austin,Rose
1968,Giovanni, 
1969,Noah,Olivia
1969,Liam,Emma
1969,Oliver,Sophia
1969,Henry,Charlotte
1969,Benjamin,Amelia
1969,Alexander,Ava
1969,Theodore,Isabella
1969,William,Mia
1969,Mateo,Evelyn
1969,Logan,Camila
1969,James,Sofia
1969,Lucas,Gianna
1969,Owen,Eleanor
1969,Daniel,Nora
1969,Jack,Layla
1969,Michael,Emily
1969,Leo,Elizabeth
1969,Elijah,Harper
1969,Sebastian,Mila
1969,Mason,Avery
1969,Anthony,Abigail
1969,Joseph,Luna
1969,Ethan,Emilia
1969,Jackson,Penelope
1969,Aiden,Ella
1969,Julian,Aria
1969,Levi,Grace
1969,Luca,Scarlett
1969,John,Chloe
1969,Jacob,Violet
1969,Charles,Isla
1969,Thomas,Zoey
1969,Wyatt,Hazel
1969,Isaac,Lily
1969,Miles,Maya
1969,David,Nova
1969,Gabriel,Eliana
1969,Matthew,Lillian
1969,Lincoln,Madison
1969,Carter,Willow
1969,Cameron,Ellie
1969,Samuel,Victoria
1969,Luke,Stella
1969,Dylan,Elena
1969,Grayson,Lucy
1969,Santiago,Riley
1969,Asher,Zoe
1969,Nolan,Addison
1969,Leonardo,Delilah
1969,Elias,Leilani
1969,Hudson,Hannah
1969,Nathan,Quinn
1969,Jayden,Ivy
1969,Josiah,Natalia
1969,Ryan,Naomi
1969,Caleb,Brooklyn
1969,Isaiah,Natalie
1969,Maverick,Leah
1969,Ezra,Ruby
1969,Adam,Vivian
1969,Christopher,Liliana
1969,Jaxon,Maeve
1969,Adrian,Everly
1969,Joshua,Hailey
1969,Dominic,Aubrey
1969,Nicholas,Madelyn
1969,Jonathan,Audrey
1969,Andrew,Savannah
1969,Gael,Aurora
1969,Connor,Claire
1969,Ezekiel,Josephine
1969,Landon,Bella
1969,Emmett,Gabriella
1969,Angel,Kinsley
1969,Bennett,Samantha
1969,Jordan,Aaliyah
1969,Brooks,Madeline
1969,Vincent,Eloise
1969,Everett,Skylar
1969,Aaron,Anna
1969,Declan,Ximena
1969,Amir,Julia
1969,Wesley,Ayla
1969,Eli,Cecilia
1969,Kai,Kennedy
1969,Damian,Sophie
1969,Robert,Margaret
1969,Axel,Ariana
1969,Beau,Autumn
1969,Easton,Allison
1969,Colton,Valentina
1969,Cooper,Clara
1969,George,Piper
1969,Ian,Eva
1969,Christian,Mackenzie
1969,Roman,Alice
1969,Messiah,Cora
1969,Theo,Paisley
1969,Jaxson,Serenity
1969,Austin,Rose
1969,Giovanni, 
1970,Noah,Olivia
1970,Liam,Emma
1970,Oliver,Sophia
1970,Henry,Charlotte
1970,Benjamin,Amelia
1970,Alexander,Ava
1970,Theodore,Isabella
1970,William,Mia
1970,Mateo,Evelyn
1970,Logan,Camila
1970,James,Sofia
1970,Lucas,Gianna
1970,Owen,Eleanor
1970,Daniel,Nora
1970,Jack,Layla
1970,Michael,Emily
1970,Leo,Elizabeth
1970,Elijah,Harper
1970,Sebastian,Mila
1970,Mason,Avery
1970,Anthony,Abigail
1970,Joseph,Luna
1970,Ethan,Emilia
1970,Jackson,Penelope
1970,Aiden,Ella
1970,Julian,Aria
1970,Levi,Grace
1970,Luca,Scarlett
1970,John,Chloe
1970,Jacob,Violet
1970,Charles,Isla
1970,Thomas,Zoey
1970,Wyatt,Hazel
1970,Isaac,Lily
1970,Miles,Maya
1970,David,Nova
1970,Gabriel,Eliana
1970,Matthew,Lillian
1970,Lincoln,Madison
1970,Carter,Willow
1970,Cameron,Ellie
1970,Samuel,Victoria
1970,Luke,Stella
1970,Dylan,Elena
1970,Grayson,Lucy
1970,Santiago,Riley
1970,Asher,Zoe
1970,Nolan,Addison
1970,Leonardo,Delilah
1970,Elias,Leilani
1970,Hudson,Hannah
1970,Nathan,Quinn
1970,Jayden,Ivy
1970,Josiah,Natalia
1970,Ryan,Naomi
1970,Caleb,Brooklyn
1970,Isaiah,Natalie
1970,Maverick,Leah
1970,Ezra,Ruby
1970,Adam,Vivian
1970,Christopher,Liliana
1970,Jaxon,Maeve
1970,Adrian,Everly
1970,Joshua,Hailey
1970,Dominic,Aubrey
1970,Nicholas,Madelyn
1970,Jonathan,Audrey
1970,Andrew,Savannah
1970,Gael,Aurora
1970,Connor,Claire
1970,Ezekiel,Josephine
1970,Landon,Bella
1970,Emmett,Gabriella
1970,Angel,Kinsley
1970,Bennett,Samantha
1970,Jordan,Aaliyah
1970,Brooks,Madeline
1970,Vincent,Eloise
1970,Everett,Skylar
1970,Aaron,Anna
1970,Declan,Ximena
1970,Amir,Julia
1970,Wesley,Ayla
1970,Eli,Cecilia
1970,Kai,Kennedy
1970,Damian,Sophie
1970,Robert,Margaret
1970,Axel,Ariana
1970,Beau,Autumn
1970,Easton,Allison
1970,Colton,Valentina
1970,Cooper,Clara
1970,George,Piper
1970,Ian,Eva
1970,Christian,Mackenzie
1970,Roman,Alice
1970,Messiah,Cora
1970,Theo,Paisley
1970,Jaxson,Serenity
1970,Austin,Rose
1970,Giovanni, 
1971,Noah,Olivia
1971,Liam,Emma
1971,Oliver,Sophia
1971,Henry,Charlotte
1971,Benjamin,Amelia
1971,Alexander,Ava
1971,Theodore,Isabella
1971,William,Mia
1971,Mateo,Evelyn
1971,Logan,Camila
1971,James,Sofia
1971,Lucas,Gianna
1971,Owen,Eleanor
1971,Daniel,Nora
1971,Jack,Layla
1971,Michael,Emily
1971,Leo,Elizabeth
1971,Elijah,Harper
1971,Sebastian,Mila
1971,Mason,Avery
